name,Gal11_ddmsn,Msn2_dgal11
ECM15,88.32077270983554,1050.4512054120307
HTB2,5131.649508441868,1160.811556727116
HTA2,5131.649508441868,1160.811556727116
UTP20,1090.860256609523,1906.4855204975586
PDR3,409.82176730889597,731.3396840099974
LDB7,409.82176730889597,731.3396840099974
SLA1,331.2028976618833,2202.9748230494697
HIR1,0.0,79.6991555699219
ALK2,0.0,213.59857425358825
LAA2,0.0,213.59857425358825
SCT1,1718.0364564924096,1914.692425914062
YBL012C,0.0,0.0
FMT1,591.9370936935786,1818.134859197074
RRN6,591.9370936935786,1818.134859197074
ACH1,552.0048294364722,11881.437117666399
FUS3,0.0,0.0
PEP1,1422.0631542714063,1457.7777395531143
POP8,644.0056343425508,567.0898487805395
APN2,161.0014085856377,783.8451681008868
RFT1,303.0614749847298,230.131272482605
HAP3,303.0614749847298,230.131272482605
PIM1,0.0,590.6675604436863
MCM2,0.0,197.74296369827493
NCL1,121.7018521592222,268.52382426443495
RRN10,1407.5590031008342,498.7161626646633
LSM2,88.32077270983554,494.914271064401
RPL19B,792.6223191908317,2612.684939040912
YBL028C,792.6223191908317,2612.684939040912
YBL029W,949.4483066307321,5034.134129796228
PET9,188.48945395391732,890.7677700782872
SHE1,0.0,576.6186295578998
HEK2,333.28593475409644,574.4329427465124
RIB1,333.28593475409644,574.4329427465124
STU1,2346.3148464430633,365.19236751749116
POL12,0.0,33.64985877281932
YBL036C,144.44986190860953,241.25511434515062
APL3,359.44500521444695,973.884400389239
MRPL16,45.32590974844933,234.97443525170328
URA7,45.32590974844933,234.97443525170328
ERD2,1600.8845590063486,444.377060124878
PRE7,3497.6013129525404,7849.25626326382
FUI1,3550.692490221497,7609.343561455193
ECM13,1611.8541019544982,3714.500730424269
YBL044W,0.0,0.0
COR1,1611.8541019544982,4801.852228776301
PSY4,151.5307374923649,2456.835926976175
EDE1,151.5307374923649,2456.835926976175
RRT1,0.0,0.0
MOH1,0.0,0.0
SEC17,0.0,1177.8048533572883
PIN4,0.0,1177.8048533572883
SAS3,0.0,257.5537145536332
YBL053W,0.0,0.0
TOD6,90.65181949689865,1748.987810198912
YBL055C,90.65181949689865,1748.987810198912
PTC3,297.23336969656197,4638.9162757426275
PTH2,297.23336969656197,4638.9162757426275
SHP1,0.0,0.0
IAI11,0.0,559.675620034819
YEL1,77.47436202617153,330.3067047396728
SKT5,77.47436202617153,330.3067047396728
YBL062W,0.0,0.0
KIP1,136.17740285657464,1060.1400377193143
PRX1,136.17740285657464,1060.1400377193143
YBL065W,0.0,0.0
SEF1,2544.8491796036305,1062.3550401461146
UBP13,110.40096588729443,2309.2726712394388
PRS4,0.0,229.60729556021295
AST1,4108.467436986705,209.62853214042946
YBL070C,0.0,0.0
YBL071C,4108.467436986705,209.62853214042946
RPS8A,0.0,755.0563098716271
YBL073W,0.0,0.0
